"국가(1)",국가(2),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"남아메리카",수리남,0.000,2.100,0.700,4.200,6.400,2.800,4.600,3.900,3.800,2.700,4.800,5.500,2.400,2.600,0.000,-3.600,-5.900,0.500,3.900,0.100,-16.900,-3.300,1.600,1.200
"남아메리카",트리니다드토바고,6.500,3.700,7.400,13.900,7.400,5.700,13.000,4.000,2.900,-4.900,2.800,-0.900,0.700,2.700,3.100,-1.100,-7.900,-5.400,-2.700,-0.500,-8.700,-1.400,0.500,1.000
"남아메리카",우루과이,-2.300,-4.100,-7.900,0.700,4.900,7.400,4.000,6.400,6.900,4.000,7.500,6.400,4.700,5.800,4.300,1.400,3.200,1.500,0.000,0.800,-7.400,5.600,4.900,0.500
"남아메리카",베네수엘라,1.700,1.500,-10.500,-9.400,16.300,8.500,8.100,7.100,3.800,-4.500,-2.800,2.800,4.300,0.100,-5.000,-7.200,-17.600,-15.100,-17.600,-25.500,-28.800,1.700,8.100,3.700
"유럽",알바니아,7.700,8.900,5.000,6.100,6.200,6.300,6.800,7.000,8.600,4.500,4.900,3.200,1.500,1.100,1.900,2.400,3.300,3.800,4.200,2.400,-2.900,9.800,5.700,4.000
"유럽",오스트리아,2.900,0.900,1.000,0.600,1.900,1.600,2.800,3.400,1.100,-3.800,1.600,2.600,0.200,-0.800,0.000,0.200,1.000,1.600,2.000,1.300,-6.700,4.300,4.100,-1.700
"유럽",벨라루스,6.300,5.300,5.700,7.800,12.200,10.200,10.700,9.100,10.600,0.400,7.900,5.700,1.900,0.900,1.700,-4.000,-2.600,2.600,3.300,1.900,0.200,3.500,-3.900,4.600
"유럽",벨기에,3.500,0.800,1.300,0.600,3.100,1.800,1.900,2.900,-0.300,-2.800,1.500,1.000,-0.400,-0.200,1.300,0.900,0.700,1.100,1.400,1.900,-5.200,5.900,3.600,0.600
"유럽",보스니아-헤르체고비나,4.700,1.900,4.800,4.100,7.300,5.000,6.300,7.200,7.200,-1.300,2.700,2.800,1.100,4.000,2.500,5.700,4.600,4.600,5.100,4.200,-1.700,9.200,5.500,2.700
"유럽",불가리아,5.500,4.800,6.800,6.000,7.300,7.800,7.600,7.400,6.900,-2.700,2.200,2.900,1.600,0.200,1.500,4.100,3.800,3.500,3.300,4.500,-2.600,8.700,4.800,2.300
"유럽",크로아티아,4.400,3.700,5.700,5.500,4.100,4.200,5.000,5.000,2.000,-6.700,-1.100,0.400,-1.800,0.300,0.000,3.200,4.600,4.700,4.300,4.100,-7.600,13.500,7.800,3.600
"유럽",체코,4.200,3.000,1.400,3.200,4.600,6.200,6.400,5.200,2.200,-5.200,2.300,1.500,-0.900,-0.100,2.200,4.900,2.500,5.100,2.800,3.500,-5.300,4.200,1.500,-1.300
"유럽",덴마크,3.400,0.600,0.100,0.200,2.500,2.100,3.500,0.500,-1.000,-5.500,1.100,0.900,-0.400,1.000,0.800,1.400,2.300,2.400,1.400,1.300,-2.100,6.900,0.700,1.700
"유럽",에스토니아,10.600,6.600,7.600,8.300,7.400,10.200,10.400,8.100,-4.900,-14.500,2.700,7.900,4.000,2.100,3.600,1.800,3.000,5.500,3.300,3.300,-3.100,7.000,-1.300,-4.200
"유럽",핀란드,5.500,2.400,1.400,1.800,3.700,2.400,3.600,4.900,0.300,-8.500,2.700,1.900,-2.000,-1.400,-0.900,0.100,2.300,3.100,1.100,1.200,-2.600,2.500,0.900,-1.700
"유럽",프랑스,3.400,1.200,0.400,0.300,2.100,1.200,2.000,1.900,-0.200,-3.300,1.500,1.900,-0.300,0.300,0.500,0.700,0.600,1.800,1.300,1.700,-7.700,6.600,2.300,0.700
"유럽",독일,2.700,1.500,-0.400,-0.600,1.200,0.900,4.300,3.400,1.100,-5.300,4.300,3.700,0.400,0.200,1.700,0.800,1.500,2.300,0.800,0.800,-4.200,3.600,0.900,-0.800
"유럽",그리스,3.600,4.100,4.200,5.500,5.100,0.900,6.100,3.200,-0.200,-4.400,-5.800,-9.700,-7.800,-1.600,1.500,0.400,0.400,1.700,2.300,2.400,-9.000,9.900,7.400,4.000
"유럽",헝가리,4.700,4.300,5.000,4.200,5.200,4.500,4.100,0.500,1.200,-6.600,1.300,2.200,-1.000,2.300,4.600,3.900,2.700,4.400,5.700,5.100,-4.100,7.600,4.500,-1.000
"유럽",아이슬란드,3.600,2.600,-0.300,1.400,6.900,4.500,3.900,5.700,0.300,-8.000,-2.700,1.500,0.500,3.600,0.600,3.400,4.800,1.800,2.100,-0.400,-8.400,3.600,6.800,3.100
